medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
439A7DB5A293D47FC0365501159DC9A2,14BF51688CDD40415F68ED9396D9A0D4,VTS,1,,2013-02-01 16:55:00,2013-02-01 17:05:00,1,600,.47,-73.991722,40.74905,-73.98819,40.749786
D588948C1EE33D5EE6EB3487D2A85C10,E86A4111DF83DFE86A62C6D5D26B706E,VTS,1,,2013-02-01 17:57:00,2013-02-01 18:14:00,1,1020,2.85,-73.940033,40.841156,-73.948448,40.809177
F90C9797B453A5584EB5F902C7EBC984,05B28944D0778A3EFC939C6D0AF4752C,VTS,1,,2013-02-01 11:59:00,2013-02-01 12:18:00,1,1140,.81,-73.988632,40.758018,-73.983841,40.749619
BAB130720588AB2391875617FAEA9171,83977EDAD82311F8B9657BAE9FE611F3,VTS,1,,2013-02-01 11:57:00,2013-02-01 12:23:00,2,1560,1.84,-73.984039,40.748775,-73.980789,40.744354
85CF2237EC1EE477672351C9864C42DB,617B349A7D57784FD1A8213B7E9B4C81,VTS,1,,2013-02-01 17:23:00,2013-02-01 17:34:00,1,660,1.50,-73.974739,40.752361,-73.973969,40.765236
C7EE7AD13BEC9F1B532D54E3D9DFE753,2F1BD64A6697565B09BB44AD5322E6EA,VTS,1,,2013-02-01 18:14:00,2013-02-01 18:22:00,5,480,1.40,-73.969856,40.762817,-73.979858,40.746391
550DE61F56D157D38E1C96E23FA9997B,A4059D3805C1928F0716385C4B88766C,VTS,1,,2013-02-01 18:09:00,2013-02-01 18:17:00,6,480,1.29,-73.964828,40.775402,-73.96981,40.784706
87EE3188A57FBD88E36F77AC9AD924C7,AA77C06C2C6FAA2B3823E3D691C42F95,VTS,1,,2013-02-01 17:22:00,2013-02-01 17:35:00,1,780,3.43,-74.000221,40.737804,-74.008682,40.702412
FF40FB8123940D9F96D33EDA1D92A83C,E1073201FF19684D8E8FCCF392F72C38,VTS,1,,2013-02-01 16:58:00,2013-02-01 17:10:00,5,720,1.17,-73.971619,40.756908,-73.988777,40.763912
AD150CAA4C22F605BADC49060EC262CF,00F19A8714CF5D4DF54F881F598ED80E,VTS,1,,2013-02-01 17:39:00,2013-02-01 17:58:00,1,1140,6.72,-73.864998,40.769909,0,0
